CommunityName,ZoningScore,Zoning_norm,PctChange_1yr,Price_norm,PermitCount,ApplicationCount,DevActivity,Dev_norm,NTI,NTI_rank,Summary
Antioch - Priest Lake,0.9204892966360856,0.2584825979321392,-0.05449591280653951,0.2551825132938818,1941,305,2948.220064,0.3468601545570531,0.27942195746497756,11,"Zoning: 0.26, Price: 0.26, Dev: 0.35, Driver: Dev_norm"
Bellevue,0.814404432132964,0.21093756061981578,-0.012714871185900685,0.3196026215195364,1208,181,1563.0959090000001,0.171421737354949,0.23909137611850131,13,"Zoning: 0.21, Price: 0.32, Dev: 0.17, Driver: Price_norm"
Bordeaux - Whites Creek - Haynes Trinity,1.2310536044362292,0.397671083220719,-0.16633333333333333,0.08274596182085169,1637,448,2584.0537990000003,0.30073522568379846,0.2632133263465353,12,"Zoning: 0.4, Price: 0.08, Dev: 0.3, Driver: Zoning_norm"
Donelson - Hermitage - Old Hickory,1.040629095674967,0.31232676556861266,-0.0975609756097561,0.18878263672504567,2946,421,4043.570702,0.4855961527116986,0.3124036672591357,8,"Zoning: 0.31, Price: 0.19, Dev: 0.49, Driver: Dev_norm"
Downtown,2.575,1.0,0.07393638992152003,0.4532058875441939,1372,284,4336.829544,0.5227400194800909,0.6893070655104907,1,"Zoning: 1.0, Price: 0.45, Dev: 0.52, Driver: Zoning_norm"
East Nashville,1.848575712143928,0.6744316917171665,-0.04006677796327212,0.27743007803019715,4034,1031,5451.826606,0.6639644137238518,0.5328643074283985,3,"Zoning: 0.67, Price: 0.28, Dev: 0.66, Driver: Zoning_norm"
Green Hills - Midtown,1.5682888540031397,0.548812931766113,0.14444444444444443,0.5619187469407734,4389,925,8104.90006,1.0,0.6661967341357159,2,"Zoning: 0.55, Price: 0.56, Dev: 1.0, Driver: Dev_norm"
Joelton,0.34375,0.0,-0.14502427184466019,0.11560134297078827,170,40,209.684308,0.0,0.04046047003977589,14,"Zoning: 0.0, Price: 0.12, Dev: 0.0, Driver: Price_norm"
Madison,0.9498432601880877,0.27163843593863873,0.00164,0.34173568281938327,1313,220,1840.021868,0.206496897768374,0.27988708780433313,10,"Zoning: 0.27, Price: 0.34, Dev: 0.21, Driver: Price_norm"
North Nashville,1.7073608617594256,0.6111421229173896,-0.01768172888015717,0.3119444708896255,1649,368,2448.581366,0.283576425056256,0.42453152024238877,6,"Zoning: 0.61, Price: 0.31, Dev: 0.28, Driver: Zoning_norm"
Parkwood - Union Hill,0.8734177215189873,0.2373860936779775,0.42857142857142855,1.0,985,131,1457.871326,0.1580940986551016,0.4844779621349664,5,"Zoning: 0.24, Price: 1.0, Dev: 0.16, Driver: Price_norm"
South Nashville,1.539877300613497,0.5360794624598305,-0.22,0.0,1788,434,2648.411195,0.3088866680283217,0.29165345199101267,9,"Zoning: 0.54, Price: 0.0, Dev: 0.31, Driver: Zoning_norm"
Southeast,0.9438700147710488,0.268961351157893,-0.04430610543863305,0.2708936700285393,3356,374,4425.767862,0.534004856413454,0.33589853907650946,7,"Zoning: 0.27, Price: 0.27, Dev: 0.53, Driver: Dev_norm"
West Nashville,1.6407766990291262,0.5813004813575915,0.035,0.3931718061674009,2801,473,3878.1063169999998,0.46463860193696704,0.48628997518586864,4,"Zoning: 0.58, Price: 0.39, Dev: 0.46, Driver: Zoning_norm"
