OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
174,Historic Preservation District,2014HP-001-001,BL2014-838,8/21/2015 5:00:00 AM,Broadway,,,bc9311b5-a053-4004-89dd-2f9675844550
175,Historic Preservation District,2015HP-001-001,BL2015-1271,8/21/2015 5:00:00 AM,Church Street and 4th Avenue N,,,55b5baa0-1992-4a94-bbbd-d516eaf50a0c
176,Contextual Overlay District,2015Z-099PR-001,BL2015-85,1/29/2015 6:00:00 AM,,,,054d4f91-f16a-4cfc-812a-37ddd3e22ea4
177,Neighborhood Conservation,2015NHC-002-001,BL2015-84,1/29/2016 6:00:00 AM,Waverly Belmont,,,6dae1a2b-a1e7-450c-9ce3-b7b3f838b8c5
178,Contextual Overlay District,2015Z-090PR-001,BL2015-53,2/26/2016 6:00:00 AM,,,,fbba7e32-33ee-43a2-934a-acae7f585978
179,Contextual Overlay District,2016Z-010PR-001,BL2016-112,2/26/2016 6:00:00 AM,,,,b53a3319-e45d-4b88-a87c-89fd8e3cbb9e
180,Contextual Overlay District,2016Z-011PR-001,BL2016-113,2/26/2016 6:00:00 AM,,,,aed880b2-9033-4bbb-a19a-6c2d1003a3b4
181,Neighborhood Conservation,2016NHC-001-001,BL2016-107,2/26/2016 6:00:00 AM,Inglewood Place,,,894c5448-38e9-45b5-96e0-96ecc8487b29
182,Neighborhood Landmark,2016NL-001-001,BL2016-166,4/22/2016 5:00:00 AM,4909 Indiana Ave,,,6141ba80-e0a2-4c44-9500-932151741952
183,Neighborhood Landmark,2016NL-002-001,BL2016-201,5/20/2016 5:00:00 AM,6404 & 6410 Centennial Blvd,,,c3ad1302-bedc-4085-a911-0c9cd9d521d6
184,Urban Design Overlay,2016UD-001-001,BL2016-295,7/22/2016 5:00:00 AM,Murfreesboro Pike at Una Antioch,,,87b26df6-0364-4e2d-a97e-02b94a0bedff
185,Urban Design Overlay,2003UD-003U-13,BL2007-96,6/9/2008 5:00:00 AM,Ridgeview,,,443282d4-8922-4477-b9ab-464ec8f0bdf6
186,Contextual Overlay District,2016Z-123PR-001,BL2016-450,11/25/2016 6:00:00 AM,,,,0034f7ed-c6ca-483b-8113-173e49e76900
187,Historic Preservation Landmark,2016HL-002-001,BL2016-448,11/25/2016 6:00:00 AM,"Pride of Tenn., Elks Lodge 1102",,,aac8e015-fc56-4261-a67c-f1d4c12e8bef
188,Neighborhood Landmark,2016NHL-001-002,BL2019-1506,3/29/2019 5:00:00 AM,1020 Gibson Drive,,,5e048576-0c1c-4652-a9cc-f90cbd10f8b7
189,Historic Preservation Landmark,2016NHL-001-002,BL2019-1506,3/29/2019 5:00:00 AM,1020 Gibson Drive,,,30248185-510e-4602-893a-77d522546979
190,Historic Bed and Breakfast Homestay,2016HL-003-001,BL2016-446,11/25/2016 6:00:00 AM,,,,4a3c883b-422c-4ec9-8988-47a975aeb564
191,Contextual Overlay District,2016Z-138PR-001,BL2016-539,2/24/2017 6:00:00 AM,,,,bf0d6b9d-450c-4a1b-9569-75cbe130f28a
192,Contextual Overlay District,2017Z-012PR-001,BL2017-545,2/24/2017 6:00:00 AM,,,,6de299c2-e344-498b-b346-81964e9cd210
193,Historic Preservation Landmark,2017HL-001-001,BL2017-578,3/24/2017 5:00:00 AM,,,,276f03f8-7736-4e30-a06b-ef1b049fe7f4
194,Historic Bed and Breakfast Homestay,2017HL-002-001,BL2017-640,4/21/2017 5:00:00 AM,,,,3c58b93f-174e-408d-9d0a-bde0ab5d1a8e
195,Historic Preservation Landmark,2017HL-003-001,BL2017-636,4/21/2017 5:00:00 AM,,,,5b70bd9e-1aed-45b8-a9b2-e996a085b218
196,Historic Bed and Breakfast Homestay,2016HL-004-001,BL2017-630,4/21/2017 5:00:00 AM,,,,cd3f45b0-0f85-41c7-9ed6-fa9c03f2dc38
197,Neighborhood Conservation,2017NHC-002-001,BL2017-667,5/19/2017 5:00:00 AM,Eastdale,,,77c60192-5e0c-4dc4-8359-ec9d0fb85bed
198,Contextual Overlay District,2017Z-047PR-001,BL2017-669,5/19/2017 5:00:00 AM,,,,ea09e9fb-97c5-4ef2-8689-8ce3e82f9225
199,Neighborhood Landmark,2017NHL-001-001,BL2017-679,5/19/2017 5:00:00 AM,,,,95a24df9-d048-4bc7-a852-5df6a1c248a1
200,Urban Design Overlay,2017UD-001-001,BL2017-680,5/19/2017 5:00:00 AM,Whites Creek At Lloyd Roa,,,95d0772e-bfa8-49dd-b21b-e01e9e823653
201,Urban Design Overlay,2017UD-003-001,BL2017-701,7/29/2017 5:00:00 AM,Edge-O-Lake,,,edfd48c8-5a11-4bca-83df-33276d720df1
202,Historic Preservation Landmark,2017HL-004-001,BL2017-772,7/29/2017 5:00:00 AM,2250 Lebanon Pike,,,a0deb077-fe6e-4b52-b415-8febdf236721
203,Neighborhood Landmark,2017NHL-002-004,BL2023-1920,7/28/2023 5:00:00 AM,,,,690805b4-af11-420e-8302-7474b1d9ce10
204,Neighborhood Conservation,2017NHC-003-001,BL2017-814,8/18/2017 5:00:00 AM,Bowling House,,,3009e14e-294c-4585-98e3-5be0a58e6b59
205,Neighborhood Conservation,2017NHC-004-001,BL2017-817,8/18/2017 5:00:00 AM,Whitland Area,,,ca8a877c-edb3-4a49-ac9c-14c9533af989
206,Urban Design Overlay,2017UD-004-001,BL2017-845,9/22/2017 5:00:00 AM,Clarksville Pike at Fairview Center,,,770722ba-619d-4964-bba4-b36ecba9e93f
207,Contextual Overlay District,2016Z-037PR-001,BL2016-199,7/22/2016 5:00:00 AM,,,,09457279-95ec-40fa-bc50-699b56a1a2b9
208,Neighborhood Conservation,2017NHC-005-001,BL2017-901,10/27/2017 5:00:00 AM,Belmont-Hillsboro,,,647ceded-bd85-4329-87f9-3fb98fee32db
209,Urban Zoning Overlay,2017Z-091PR-001,BL2017-852,11/10/2017 6:00:00 AM,,,,560d61a1-84c0-4e42-a379-4d8530e1bf75
210,Urban Design Overlay,2017UD-006-001,BL2017-1004,2/2/2018 6:00:00 AM,Payne Road Residential Udo,,,22722b36-d623-4547-a88f-a5ac7c1944ef
211,Neighborhood Landmark,2018NHL-001-001,BL2018-1053,2/23/2018 6:00:00 AM,312 East Marthona Road,,,bef36e42-49bb-4107-9569-2119567bc364
212,Historic Preservation Landmark,2018HL-001-001,BL2018-1052,2/23/2018 6:00:00 AM,312 East Marthona Road,,,86019e7b-cc74-4afb-bee1-560519df9d29
213,Urban Design Overlay,2018UD-001-001,BL2018-1110,4/20/2018 5:00:00 AM,Highway 100,,,0631f57a-9dca-42c2-a8d3-4761fcea4d83
214,Urban Design Overlay,2017UD-005-010,BL2025-756,4/25/2025 5:00:00 AM,River North,,,492147c4-4b80-44e2-a8c4-f54ce7d39811
215,Neighborhood Conservation,2018NHC-002-001,BL2018-1228,7/20/2018 5:00:00 AM,Eastwood,,,a17ff952-31b1-4326-8789-aa99ceeebe47
216,Historic Preservation Landmark,2018HL-002-001,BL2018-1275,8/24/2018 5:00:00 AM,1431 Shelton Avenue,,,f3d7a861-2d03-4448-9cfa-c62bbcaf9eb5
217,Neighborhood Landmark,2018NHL-002-001,BL2018-1276,8/24/2018 5:00:00 AM,1431 Shelton Avenue,,,566ed85a-a8e7-4154-87df-a332bc4ac4dc
218,Neighborhood Conservation,2018NHC-001-001,BL2018-1245,9/7/2018 5:00:00 AM,Edgehill,,,c28139c7-db74-4ee5-989c-7757d7657e1c
219,Contextual Overlay District,2018Z-109PR-001,BL2018-1366,12/7/2018 6:00:00 AM,,,,a0ca6506-0e1b-4ec1-bd7d-d85ab152ac52
220,Historic Preservation Landmark,2018HL-003-001 ,BL2019-1461,2/22/2019 6:00:00 AM,115 Cottage Lane,,,cb419045-9e79-4cc8-9950-97a9efff4f69
221,Neighborhood Conservation,2019NHC-001-001,BL2019-1535,4/26/2019 5:00:00 AM,Kenner Avenue,,,9ee2d569-ea6d-40a7-831e-1bd00ecfa9e8
222,Contextual Overlay District,2019Z-058PR-001,BL2019-1571,5/24/2019 5:00:00 AM,,,,1fbd0b3c-0f58-4e00-90bc-6f6ac838d89d
223,Urban Zoning Overlay,2019Z-046PR-001,BL2019-1594,5/24/2019 5:00:00 AM,,,,6848e04c-2775-4906-bba9-a39e594c22da
224,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,b7f3c2f1-97f8-4ced-912b-697911476563
225,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,661047e8-4f11-471b-b8a2-0ba7d793d5eb
226,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,8356f8cf-2685-4743-b874-5a47a2dfea91
227,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,e4f9ed63-bf01-4fae-bb6d-e3b9b62e9dfb
228,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,2194f5e7-b565-423d-9caf-957a344b9ad6
229,Corridor Design Overlay,2019Z-054PR-001,BL2019-1581,5/24/2019 5:00:00 AM, ,,,38182cda-846a-4f3b-a99e-1e6dce0d351f
230,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,64d91862-622f-4a49-949e-b9ddebe8226a
231,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,7b899896-320e-4afb-a8dc-dddb44ebf0f6
232,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,69c2de17-997e-41b7-9dee-5f39049c727a
233,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,24a42cc6-2a72-41ac-9ce6-f4a0fe94b380
234,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,6d326f04-760b-4c27-b0c1-36da9c3a1e27
235,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,c97276ab-7010-44cc-bd84-25fbed5768fe
236,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,07ca7e17-2f59-4a63-8e67-406830e61941
237,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,99b4b5c3-0d6c-4695-962a-7bdb05572adb
238,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,672fba52-9436-4a6a-9ad4-d0f8f65af92e
239,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,427e0879-6198-47ca-8f04-25d52e06349a
240,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,f66f50f0-b54c-449a-aa04-115a2ab46428
241,Corridor Design Overlay,2019CDO-002-001,BL2019-1698,7/19/2019 5:00:00 AM,,,,48dbce5e-97e7-44d1-8bfc-0bd58047a650
242,Corridor Design Overlay,2019CDO-001-001,BL2019-1697,7/19/2019 5:00:00 AM,,,,0fc1c580-6b70-4547-8c73-3a86e0748b81
243,Corridor Design Overlay,2019CDO-001-001,BL2019-1697,7/19/2019 5:00:00 AM,,,,b9c7e075-24d9-4d11-9770-b8025beb7944
244,Contextual Overlay District,2019Z-157PR001,BL2019-64,12/27/2019 6:00:00 AM,,,,fbbf8725-3328-498f-be27-95beea109efa
245,Urban Zoning Overlay,2007Z-060U-05,BL2007-1426,7/25/2007 5:00:00 AM,,,,03022235-9861-4bf8-b6d6-1ab43a069e26
246,Neighborhood Landmark,2019NHL-002-001,BL2020-130,2/28/2020 6:00:00 AM,1006 Monroe Street,,,bd8086d8-2c52-4d7e-bd68-552c04fe48d8
247,Neighborhood Landmark,2020NL-001-001,BL2020-260,7/10/0200 5:00:00 AM,1600 10th Avenue North,,,06a1f0f9-4815-49d6-ba35-762d0c84daf7
248,Historic Preservation Landmark,2020HL-003-001,BL2020-311,7/24/2020 5:00:00 AM,2001 Lebanon Pike,,,ea90739d-09b3-460d-a24a-87bd83047df6
249,Historic Preservation Landmark,2020HL-006-001,BL2020-319,8/21/2020 5:00:00 AM,1600 10th Avenue North,,,8e2fb081-5d3a-4187-aa9e-215b9cd4db7e
250,Historic Preservation Landmark,2020HL-004-001,BL2020-320,8/21/2020 5:00:00 AM,,,,fe89bfec-83b3-43af-ac02-3a8607bc65db
251,Contextual Overlay District,2020COD-001-001,BL2020-362,8/21/2020 5:00:00 AM,,,,2d91f71f-8438-4b91-a549-1bb881e8e2e6
252,Residential Accessory Structure Overlay,2020RAS-001-001,BL2020-316,8/21/2020 5:00:00 AM,,,,ec57b417-8d4c-4a53-9193-4a9d425823c3
253,Historic Preservation Landmark,2020HL-005-001,BL2020-395,9/18/2020 5:00:00 AM,,,,c74131cb-605c-43c6-b1be-e7682c6fef27
254,Urban Zoning Overlay,2020Z-112PR-001,BL2020-435,10/30/2020 5:00:00 AM,,,,36777646-66c7-4819-b310-9ead2851841e
255,Historic Preservation Landmark,2020HL-002-001,BL2020-438,10/30/2020 5:00:00 AM,,,,1f50c131-2073-405d-a972-435b1ec1d89e
256,Historic Preservation District,2019HP-001-001,BL2020-256,12/18/2020 6:00:00 AM,Marathon Village,,,4064b5b6-6ed2-4f6f-a5c4-789f6381308d
257,Corridor Design Overlay,2020CDO-001-001,BL2020-470,11/19/2020 6:00:00 AM,,,,9474d793-76c7-4bc5-86af-34b6e641b0a5
258,Contextual Overlay District,2020COD-002-001,BL2020-477,11/19/2020 6:00:00 AM,,,,8c760a8d-e73a-4185-990a-dbf40d58039b
259,Contextual Overlay District,2018Z-020PR-001,BL2018-1084,3/23/2018 5:00:00 AM,,,,77968d29-143e-4e52-a33c-92c258abb0ba
260,Urban Zoning Overlay,2020Z-120PR-001,BL2020-516,12/18/2020 6:00:00 AM,,,,25d13e2d-ce19-4a95-9f45-45637e9b7079
261,Historic Preservation Landmark,2020HL-008-001,BL2020-575,1/22/2021 6:00:00 AM,,,,f1b6ccec-d122-4f58-a535-7ed98535fc30
262,Historic Preservation Landmark,2021HL-001-001,BL2021-608,2/19/2021 6:00:00 AM,,,,efaceeb2-9af1-4714-97d3-dccbcb3e199c
263,Neighborhood Landmark,2020NL-002-001,BL2020 - 385,3/5/2021 6:00:00 AM,,,,37571aef-8e0d-47fa-81f6-6f26586f7f33
264,Neighborhood Conservation,2021NHC-001-001,BL2021-645,3/26/2021 5:00:00 AM,Haynes Heights,,,ea3da2b6-248b-45eb-88f4-f8e50c0e544e
265,Urban Design Overlay,2021UD-001-001,BL2021-635,5/28/2021 5:00:00 AM,Wedgewood-Houston Chestnut Hill,,,e5ca73c6-8a4c-4e09-a00d-006333a3f9e0
266,Urban Design Overlay,2021UD-001-001,BL2021-635,5/28/2021 5:00:00 AM,Wedgewood-Houston Chestnut Hill,,,0f3964ce-02cc-4ba2-a238-cf5ded31e1f6
267,Contextual Overlay District,2021COD-002-001,BL2021-822,8/27/2021 5:00:00 AM,,,,1b65214b-af81-4e53-bb61-8a2679c3379d
268,Contextual Overlay District,2021COD-001-001,BL2021-855,9/24/2021 5:00:00 AM,,,,25e3c964-4e95-4814-8a31-4d1573142b45
269,Contextual Overlay District,2021COD-003-001,BL2021-856,9/24/2021 5:00:00 AM,,,,233d95c0-db1f-4efa-89d7-85fc0f548c84
270,Neighborhood Landmark,2021NL-002-001,BL2021-894,10/22/2021 5:00:00 AM,2400 10th Avenue South,,,3b27b43f-1d39-44b7-8fc9-d9d03b11aa76
271,Neighborhood Conservation,2017NHC-003-002,BL2021-903,11/26/2021 6:00:00 AM,Bowling House,,,ba8eb7c7-917c-4188-8edc-2d415b2e6731
272,Detached Accessory Dwelling Unit Overlay District,2021DDU-001-001,BL2021-953,11/26/2021 6:00:00 AM,,,,6bfc8de1-d73f-4fba-bdf3-3ac5b08a476a
273,Detached Accessory Dwelling Unit Overlay District,2021Z-065PR-001,BL2021-791,12/17/2021 6:00:00 AM,,,,f643ef1a-2fb4-4d13-b979-a225adece36d
274,Historic Preservation Landmark,2021HL-003-001,BL2021-853,2/25/2022 6:00:00 AM,,,,5221a95a-3e09-4a5c-9128-817a4942cd85
275,Corridor Design Overlay,2021CDO-002-001,BL2022-1063,2/25/2022 6:00:00 AM,,,,162b52af-de92-45d2-b428-4cb8a5009e60
276,Corridor Design Overlay,2021CDO-001-001,BL2022-1057,2/25/2022 6:00:00 AM,,,,432d273a-72ef-4ecb-85d9-1cf23db50fad
277,Historic Preservation Landmark,2022HL-002-001,BL2022-1083,3/25/2022 5:00:00 AM, ,,,c1058f86-0809-4238-a291-d10b8f074811
278,Neighborhood Landmark,2021NL-003-001,BL2021-854,4/22/2022 5:00:00 AM,,,,b98e5c9c-3315-4a03-bf87-32b310db5b7e
279,Historic Preservation Landmark,2022HL-003-001,BL2022-1193,5/27/2022 5:00:00 AM,,,,1f2ee9d3-85ce-4705-803e-61be0cb2ce88
280,Neighborhood Landmark,2022NL-002-001,BL2022-1195,5/27/2022 5:00:00 AM,,,,8b91a3f1-05be-4ded-80e6-c2146391f933
281,Historic Preservation Landmark,2021HL-004-001,BL2022-1146,7/22/2022 5:00:00 AM, ,,,68d4db16-1a6d-43ea-adfc-3aae726224de
282,Contextual Overlay District,2022COD-001-001,BL2022-1317,7/22/2022 5:00:00 AM,,,,eee587ee-970f-4d70-a653-51f5c9d863d9
283,Detached Accessory Dwelling Unit Overlay District,2022DDU-001-001,BL2022-1322,7/22/2022 5:00:00 AM,,,,a46068bd-861a-4182-8b90-eb825fb9a644
284,Contextual Overlay District,2022COD-002-001,BL2022-1357,8/19/2022 5:00:00 AM,,,,23643964-0286-4109-813c-3a4df833615b
285,Historic Preservation Landmark,2022HL-006-001,BL2022-1437,12/2/2022 6:00:00 AM,,,,8b7edf38-22b9-45f2-830c-84753b26d026
286,Contextual Overlay District,2022COD-004-001,BL2022-1496,12/30/2022 6:00:00 AM,,,,664946af-c28f-4203-bbcb-cc72b8026867
287,Urban Design Overlay,2022UD-001-001,BL2022-1604,1/27/2023 6:00:00 AM,,,,cebf5665-70b7-4df5-9c5f-a32426718103
288,Historic Preservation Landmark,2022HL-007-001,BL2022-1626,1/27/2023 6:00:00 AM,,,,f9a797bc-d213-4d29-9a97-34dbdc7d26ee
289,Historic Preservation Landmark,2022HL-007-001,BL2022-1626,1/27/2023 6:00:00 AM,,,,50f98124-6353-4220-bfef-e25a9f23eaaa
290,Neighborhood Conservation,2023NHC-001-001,BL2023-1676,3/3/2023 6:00:00 AM,,,,6f66ea92-4883-49c8-91e2-36ca41981e49
291,Contextual Overlay District,2023COD-001-001,BL2023-1708,3/31/2023 5:00:00 AM,,,,08c1251d-69d9-4593-975b-3aaff8cb2dbc
292,Neighborhood Landmark,2024NL-002-001,BL2024-542,10/18/2024 5:00:00 AM,,,,985d03a1-e54d-4d7b-89ca-9a8c91d5fdaa
293,Contextual Overlay District,2023COD-002-001,BL2023-1714,5/5/2023 5:00:00 AM,,,,25db831f-706c-4e57-87b9-a537b45745bc
294,Detached Accessory Dwelling Unit Overlay District,2023DDU-001-001,BL2023-1761,5/5/2023 5:00:00 AM,,,,8ce9cfae-9cb5-4903-938c-ba5ebb7dc21e
295,Two Story Overlay District,2023TSO-001-001,BL2023-1773,5/5/2023 5:00:00 AM,,,,edf9a8ad-33c3-4be8-8eac-fa99871a6b6e
296,Neighborhood Conservation,2023NHC-002-001,BL2023-1778,5/5/2023 5:00:00 AM,HAYNES MANOR,,,c41a273f-b509-4aa3-9ef7-bf1e6dc056ea
297,Contextual Overlay District,2023COD-003-001,BL2023-1717,5/12/2023 5:00:00 AM,,,,67de0361-3aa2-46db-b512-0fa8cee3f8cf
298,Contextual Overlay District,2023COD-003-001,BL2023-1717,5/12/2023 5:00:00 AM,,,,1fb89eff-8aa4-4629-8c9f-c6eb0e01d239
299,Urban Design Overlay,2001UD-002-012,BL2023-1822,5/26/2023 5:00:00 AM,Music Row,,,018fa18c-4cb3-453e-b273-215e57c106c2
300,Contextual Overlay District,2023COD-004-001,BL2023-1924,7/28/2023 5:00:00 AM,,,,6808121a-a7bc-4ea8-a2c2-e961bdcd41cb
301,Neighborhood Landmark,2022NL-003-001,BL2023-1923,7/28/2023 5:00:00 AM,,,,832f8f3e-beeb-42bc-8e24-4936b050c281
302,Historic Preservation Landmark,2022HL-004-001,BL2023-1921,7/28/2023 5:00:00 AM,,,,35e55eea-9ee1-4657-a8b1-03b04ddc8217
303,Contextual Overlay District,2023COD-005-001,BL2023-1929,7/28/2023 5:00:00 AM,,,,37a4cd70-8198-4453-969c-961dc893d203
304,Contextual Overlay District,,,,,,,ac82f363-4182-41cd-a3ac-02baabf8056f
305,Urban Design Overlay,2001UD-002-012,BL2023-1822,5/26/2023 5:00:00 AM,Music Row,,,e353de69-6c1e-4d5b-ac2a-e77c3e0fdeff
306,Contextual Overlay District,2023COD-008-001,BL2023-2044,9/1/2023 5:00:00 AM,,,,ad65ad82-2acf-4b6d-9c7c-d3ba3ca8a46f
307,Historic Preservation District,2023HP-001-001,BL2023-2053,9/1/2023 5:00:00 AM,,,,8920ef45-048e-47f8-ae6d-709584302b71
308,Historic Preservation Landmark,2023NL-001-001,BL2023-2055,9/1/2023 5:00:00 AM,Park-Elkins Neighborhood Conservation,,,ef034189-6def-4fea-903d-abaac0e580f4
309,Historic Preservation Landmark,2021HL-002-001,BL2021-767,7/23/2021 5:00:00 AM,700 8th Avenue South,,,a33f2fec-6733-40ce-8507-526674c96083
310,Historic Preservation Landmark,2021HL-002-001,BL2021-767,7/23/2021 5:00:00 AM,606 8th Avenue South,,,f0475998-90bc-4eb6-823c-0a346598dc40
311,Neighborhood Landmark,2023NL-002-001,BL2024-278,4/26/2024 5:00:00 AM,,,,0f90895e-9b20-4259-bb93-cbf93403156b
312,Historic Landmark Interior Overlay,2024HL-001-001,BL2024-403,7/26/2024 5:00:00 AM,,,,16637df4-8d15-4b06-bbab-603db81377d9
313,Detached Accessory Dwelling Unit Overlay District,2023DDU-002-001,BL2023-2094,9/1/2023 5:00:00 AM,,,,888a4d78-6c6f-45b8-a608-21a6f0699d52
314,Historic Preservation District,2024HP-001-001,BL2024-531,10/18/2024 5:00:00 AM,,,,41945c78-57ee-4dfb-8bf9-a08ed84609a6
315,Detached Accessory Dwelling Unit Overlay District,2024DDU-001-001,BL2024-559,11/29/2024 6:00:00 AM,,,,54927326-8ce5-478d-bb4e-10bdd4f66322
316,Corridor Design Overlay,2024CDO-001-001,BL2024-608,12/27/2024 6:00:00 AM,,,,143ba866-2bda-46e8-b0ab-81eb402b2df8
317,Urban Zoning Overlay,2024Z-131PR-001,BL2024-618,12/27/2024 6:00:00 AM,,,,cc7b3083-a83a-4b0f-a59a-aa3c868adf25
318,Corridor Design Overlay,2024CDO-002-001,BL2024-611,12/27/2024 6:00:00 AM,,,,2d34056e-829a-4eaa-8df1-c22d2223bf7f
319,Two Story Overlay District,2024TSO-001-001,BL2024-619,2/7/2025 6:00:00 AM,,,,5cb26631-9a2b-4b4a-a6bd-6ea7c1930716
320,Neighborhood Conservation,2025NHC-001-001,BL2025-739,5/16/2025 5:00:00 AM,,,,60681d05-ba81-40d2-b892-59b8377efed3
321,Urban Design Overlay,2003UD-003-011,BL2025-877,7/25/2025 5:00:00 AM,RIDGEVIEW SECTIONS 6 & 7,,,b47ae4cc-a7a5-4c17-b2e1-a38b39bf37d0
322,Urban Design Overlay,2025UD-002-001,BL2025-831,8/29/2025 5:00:00 AM,West Nashville,,,29b7d215-f9cb-472c-b180-2873a1d295d6
323,Historic Preservation Landmark,2025HL-002-001,BL2025-1034,10/31/2025 5:00:00 AM,1901 CAPERS AVE,,,096acc05-8ed2-4947-b327-31c33bfeb135
324,Corridor Design Overlay,2025CDO-001-001,BL2025-1131,12/26/2025 6:00:00 AM,,,,1c4bc7ee-810e-433f-be26-5a64eb028905
